Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Airball,1987,Action,Top-down,DOS,7.3,75% (11),"MicroDeal Ltd., Atari Corporation, Pixel Games UK",MicroDeal Ltd.,0.0,1.0,"Fixed / flip-screen, Isometric"
Beyond Zork: The Coconut of Quendor,1987,Adventure,Text-based / Spreadsheet,DOS,7.2,84% (13),"Infocom, Inc.","Infocom, Inc.",0.0,1.0,Fixed / flip-screen
Big Top,1983,Action,Side view,PC Booter,,78% (1),"Funtastic, Inc.","Funtastic, Inc.",0.0,1.0,Fixed / flip-screen
Bop'N Wrestle,1985,Sports,Wrestling,Commodore 64,6.4,62% (5),"Melbourne House, Mindscape, Inc., Firebird Software, Ziggurat Interactive, Inc.",Melbourne House,0.0,1.0,
Chessmaster 5000,1996,Strategy,Chess,Windows,7.6,81% (10),"Mindscape, Inc.","Mindscape, Inc.",0.0,1.0,
Conquest,1983,Action,3rd-person (Other),PC Booter,,(8),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,Fixed / flip-screen
Cosmic Crusader,1982,Action,Top-down,PC Booter,7.0,(15),"Funtastic, Inc.","Funtastic, Inc.",0.0,1.0,"Arcade, Shooter"
Deadline,1982,Adventure,Text-based / Spreadsheet,PC Booter,7.6,85% (10),"Infocom, Inc., Commodore Business Machines (UK) Ltd., Commodore Business Machines, Inc","Infocom, Inc.",0.0,1.0,Fixed / flip-screen
Digger,1983,Action,Side view,PC Booter,7.2,82% (3),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,Fixed / flip-screen
Enchanter,1983,Adventure,Interactive fiction / text adventure,PC Booter,6.7,83% (7),"Infocom, Inc., Mastertronic Ltd.","Infocom, Inc.",0.0,1.0,Fantasy
Fire Hawk: Thexder - The Second Contact,1989,Action,Side view,MSX,7.3,(19),"Game Arts Co., Ltd., Sierra On-Line, Inc.","Game Arts Co., Ltd.",0.0,1.0,2D scrolling
Indianapolis 500: The Simulation,1989,Racing / Driving,1st-person,DOS,7.6,83% (21),"Electronic Arts, Inc., Hit Squad, The","Electronic Arts, Inc.",0.0,1.0,"Automobile, Track racing, Vehicle simulator"
Infidel,1983,Adventure,Fixed / flip-screen,PC Booter,6.8,72% (7),"Infocom, Inc.","Infocom, Inc.",0.0,1.0,Interactive fiction / text adventure
Knights of the Sky,1990,Simulation,1st-person,DOS,7.2,83% (18),"MicroProse Software, Inc., U.S. Gold Ltd., Night Dive Studios, LLC, Tommo Inc.","MicroProse Software, Inc.",0.0,1.0,"Flight / aviation, Vehicular combat"
Leather Goddesses of Phobos,1986,Adventure,Interactive fiction / text adventure,Amstrad CPC,7.4,82% (15),"Infocom, Inc., Asgard Software, Mastertronic Ltd., Activision Publishing, Inc.","Infocom, Inc.",0.0,1.0,Sci-fi / futuristic
Manhunter 2: San Francisco,1989,Adventure,1st-person,DOS,6.7,60% (13),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,Puzzle elements
Manhunter: New York,1988,Adventure,1st-person,Apple II,6.9,65% (7),"Sierra On-Line, Inc.","Sierra On-Line, Inc.",0.0,1.0,"Graphic adventure, Puzzle elements"
Master Miner,1983,Action,Top-down,PC Booter,,64% (1),"Funtastic, Inc.","Funtastic, Inc.",0.0,1.0,"Arcade, Shooter"
Moon Bugs,1983,Action,Top-down,PC Booter,7.0,(14),Windmill Software Inc.,Windmill Software Inc.,0.0,1.0,"Arcade, Shooter"
OutRun,1986,Racing / Driving,Behind view,Arcade,7.4,74% (57),"SEGA Enterprises Ltd., U.S. Gold Ltd., SEGA of America, Inc.",SEGA Enterprises Ltd.,0.0,1.0,Arcade
